obey,100
rest,100
ride,100
stare,3.8965643153526974
serve,3.40949377593361
consider,3.3553748271092667
mutter,3.312079668049792
summon,3.2471369294605807
shout,3.1930179806362378
learn,3.084780082987552
spend,2.922423236514523
fear,2.922423236514523
hope,2.8412448132780086
trouble,2.7600663900414935
shoot,2.7600663900414935
recall,2.7059474412171505
escape,2.678887966804979
mind,2.597709543568465
hug,2.597709543568465
suppose,2.4353526970954356
deny,2.4353526970954356
would,2.426807599912645
pay,2.3947634854771787
receive,2.3541742738589213
climb,2.2729958506224066
deserve,2.2729958506224066
dread,2.2729958506224066
dash,2.2729958506224066
upset,2.2729958506224066
await,2.1647579529737206
hate,2.1431103734439834
bend,2.1106390041493777
dig,2.1106390041493777
save,2.1106390041493777
introduce,2.1106390041493777
settle,2.1106390041493777
employ,2.1106390041493777
reckon,2.1106390041493777
sign,2.1106390041493777
feed,2.1106390041493777
affect,2.1106390041493777
remark,2.078167634854772
recognise,2.0565200553250347
stretch,2.029460580912863
suspect,2.029460580912863
strike,2.01322489626556
support,1.9482821576763487
startle,1.9482821576763487
yield,1.9482821576763487
can,1.9482821576763487
pursue,1.9482821576763487
crawl,1.9482821576763487
seek,1.867103734439834
stir,1.867103734439834
light,1.867103734439834
judge,1.867103734439834
ring,1.7859253112033193
interest,1.7859253112033193
drive,1.7711655978875895
rouse,1.7318063623789766
swear,1.7318063623789766
happen,1.7318063623789766
continue,1.720982572614108
bite,1.704746887966805
work,1.6641576763485475
injure,1.6235684647302904
be,1.6235684647302904
produce,1.6235684647302904
desire,1.6235684647302904
step,1.6235684647302904
withdraw,1.6235684647302904
force,1.6235684647302904
cross,1.6235684647302904
rob,1.6235684647302904
suggest,1.6235684647302904
stick,1.6235684647302904
acquire,1.6235684647302904
encounter,1.6235684647302904
appear,1.5910970954356847
drink,1.577180794309425
overcome,1.5153305670816044
search,1.5153305670816044
live,1.5115982257833738
change,1.5018008298755186
imagine,1.4612116182572614
rise,1.4612116182572614
lend,1.4612116182572614
taste,1.4612116182572614
hand,1.4612116182572614
brush,1.4612116182572614
attack,1.4612116182572614
swim,1.4612116182572614
obtain,1.4612116182572614
bore,1.4612116182572614
realize,1.4612116182572614
pause,1.443171968649147
shut,1.4380177830468284
discover,1.4287402489626555
warnt,1.4287402489626555
talk,1.4206224066390043
s,1.410825010731149
bid,1.4070926694329184
present,1.4070926694329184
assist,1.4070926694329184
add,1.3962688796680496
wish,1.3962688796680496
ought,1.3874130516786118
describe,1.3800331950207467
recover,1.3800331950207467
intend,1.3800331950207467
send,1.3684362774155305
trust,1.3637975103734439
wonder,1.3529737206085752
eat,1.3529737206085752
watch,1.3431339117314223
point,1.3394439834024896
return,1.337056382719063
find,1.3297798853981426
walk,1.3179555772516476
win,1.2988547717842325
compel,1.2988547717842325
examine,1.2988547717842325
betray,1.2988547717842325
resolve,1.2988547717842325
tear,1.2988547717842325
hurl,1.2988547717842325
drag,1.2988547717842325
awaken,1.2988547717842325
attend,1.2988547717842325
accuse,1.2988547717842325
smell,1.2988547717842325
wipe,1.2988547717842325
overtake,1.2988547717842325
travel,1.2988547717842325
act,1.2988547717842325
steer,1.2988547717842325
abuse,1.2988547717842325
squeeze,1.2988547717842325
defend,1.2988547717842325
reach,1.2853250345781464
think,1.2540666762054657
bow,1.2524671013633668
hang,1.2524671013633668
hold,1.2292732661529342
succeed,1.226696173351775
enter,1.2239208426428343
raise,1.2176763485477178
cut,1.2176763485477178
smile,1.2176763485477178
hear,1.215482337108893
catch,1.2141468518852607
stand,1.213929652090648
feel,1.2130109219249297
address,1.2060794309425016
use,1.1973817427385893
question,1.1906168741355463
will,1.1906168741355463
commence,1.1906168741355463
confess,1.1906168741355463
hail,1.1906168741355463
murmur,1.1770871369294607
break,1.1770871369294607
start,1.171792891935775
inform,1.1689692946058092
hesitate,1.1689692946058092
offer,1.1635573997233748
remember,1.1610974475040865
listen,1.1596917605216361
close,1.1596917605216361
buy,1.1596917605216361
want,1.150027662517289
forget,1.1364979253112035
plead,1.1364979253112033
shriek,1.1364979253112033
creep,1.1364979253112033
admit,1.1364979253112033
warm,1.1364979253112033
grasp,1.1364979253112033
concern,1.1364979253112033
awake,1.1364979253112033
picture,1.1364979253112033
shove,1.1364979253112033
earn,1.1364979253112033
soothe,1.1364979253112033
rely,1.1364979253112033
irritate,1.1364979253112033
follow,1.1308994133638575
shake,1.1202622406639002
choose,1.1133040901007707
show,1.1023175365800393
move,1.1012029586866319
meet,1.1004186260949744
draw,1.0982963143763729
take,1.0942851452282158
speak,1.0887459116426652
cast,1.0823789764868603
attempt,1.0823789764868603
write,1.0823789764868603
nod,1.0823789764868603
slide,1.0823789764868603
stay,1.0823789764868603
reproach,1.0823789764868603
invent,1.0823789764868603
ask,1.0740529843600382
believe,1.0696451061752503
let,1.0696451061752503
call,1.0676192631711303
oblige,1.0553195020746888
sing,1.0553195020746888
say,1.0550285399842354
mean,1.05145386287295
expect,1.0490750079795723
pass,1.0430197409782471
remind,1.039083817427386
urge,1.039083817427386
disappear,1.039083817427386
keep,1.0380998365396705
give,1.0330073038751788
persuade,1.0282600276625173
forgive,1.0282600276625173
order,1.0282600276625173
know,1.0262341846583976
reply,1.0254116619349203
lie,1.0254116619349203
seize,1.0228481327800831
make,1.022848132780083
lead,1.0205287492590398
bear,1.0205287492590398
observe,1.0205287492590396
manage,1.0205287492590396
bring,1.0126664322385541
promise,1.010220378054403
get,1.0052006494677974
have,1.0012005532503458
suffer,1.0012005532503458
become,0.9984946058091286
turn,0.9930197819164334
